fecha,mes,anio,linea,estacion,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2024-06-01,Junio,2024,Linea 1,Pantitlán,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Pantitlán,Prepago,21984,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Pantitlán,Gratuidad,3112,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Zaragoza,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Zaragoza,Prepago,14523,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Zaragoza,Gratuidad,3257,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Gómez Farías,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Gómez Farías,Prepago,11951,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Gómez Farías,Gratuidad,2256,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Boulevard Puerto Aéreo,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Boulevard Puerto Aéreo,Prepago,9835,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Boulevard Puerto Aéreo,Gratuidad,2381,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Balbuena,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Balbuena,Prepago,4068,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Balbuena,Gratuidad,1118,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Moctezuma,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Moctezuma,Prepago,9475,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Moctezuma,Gratuidad,2648,2024-06,2024
2024-06-01,Junio,2024,Linea 1,San Lázaro,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,San Lázaro,Prepago,9789,2024-06,2024
2024-06-01,Junio,2024,Linea 1,San Lázaro,Gratuidad,2079,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Candelaria,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Candelaria,Prepago,13568,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Candelaria,Gratuidad,2584,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Merced,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Merced,Prepago,23606,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Merced,Gratuidad,6327,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Pino Suárez,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Pino Suárez,Prepago,23388,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Pino Suárez,Gratuidad,5609,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Isabel la Católica,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Isabel la Católica,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Isabel la Católica,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Salto del Agua,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Salto del Agua,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Salto del Agua,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Balderas,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Balderas,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Balderas,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Cuauhtémoc,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Cuauhtémoc,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Cuauhtémoc,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Insurgentes,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Insurgentes,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Insurgentes,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Sevilla,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Sevilla,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Sevilla,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Chapultepec,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Chapultepec,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Chapultepec,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Juanacatlán,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Juanacatlán,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Juanacatlán,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Tacubaya,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Tacubaya,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Tacubaya,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Observatorio,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Observatorio,Prepago,0,2024-06,2024
2024-06-01,Junio,2024,Linea 1,Observatorio,Gratuidad,0,2024-06,2024
2024-06-01,Junio,2024,Linea 2,Cuatro Caminos,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 2,Cuatro Caminos,Prepago,85574,2024-06,2024
2024-06-01,Junio,2024,Linea 2,Cuatro Caminos,Gratuidad,9133,2024-06,2024
2024-06-01,Junio,2024,Linea 2,Panteones,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 2,Panteones,Prepago,7957,2024-06,2024
2024-06-01,Junio,2024,Linea 2,Panteones,Gratuidad,1308,2024-06,2024
2024-06-01,Junio,2024,Linea 2,Tacuba,Boleto,0,2024-06,2024
2024-06-01,Junio,2024,Linea 2,Tacuba,Prepago,23044,2024-06,2024
2024-06-01,Junio,2024,Linea 2,Tacuba,Gratuidad,4221,2024-06,2024
